Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Nothing,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
06/27/2018,19.6,9.8,15.7,8.6,,2.36,0,0,24,115.33,37.5,20.6,66.4,80.62,Rain, Partially cloudy
06/28/2018,19,15.8,17.5,,,13.96,0,0,27.7,39.71,46.2,10.2,89.4,93.1,Rain, Overcast
06/29/2018,26.7,17.7,21.7,,27.1,0.75,0,0,17.8,170.46,36,22,61.1,69.59,Rain, Partially cloudy
06/30/2018,19.8,11.8,14.4,,,1.16,0,0,23.3,320.46,38.9,26.4,73.8,68.55,Rain, Partially cloudy
07/01/2018,15.7,9.1,12.9,7.9,,3.32,0,0,22.5,273.88,61.3,23.7,67.5,67.69,Rain, Partially cloudy
07/02/2018,19,9.8,14.7,8.9,,0,0,0,28.6,257.13,42,23.1,58.9,61.54,Partially cloudy
07/03/2018,23.1,8.2,16.3,7.4,,0,0,0,23.1,228.21,25.1,23.2,41.1,63.13,Partially cloudy
07/04/2018,27.6,9.9,19.7,,26.7,0,0,0,20.9,215.33,31.3,24.5,14.7,55,Clear
07/05/2018,30,11.2,22,,28.5,0,0,0,16.9,185.5,18,19.7,23.6,53.32,Clear
07/06/2018,25,16.1,19.6,,,3.4,0,0,19,242.46,36,18.5,73.8,75.66,Rain, Partially cloudy
07/07/2018,25.5,14.9,20.1,,,5.95,0,0,16.9,256.96,28.8,21.3,54.3,63.1,Rain, Partially cloudy
07/08/2018,25.4,12.8,19.8,,,14,0,0,21.4,249.25,34.6,25.6,46.5,55.18,Rain, Partially cloudy
07/09/2018,26.1,15,21,,,0.35,0,0,19.3,226.38,32.4,20.5,49.4,64.09,Rain, Partially cloudy
07/10/2018,27.9,14.1,19.9,,27.3,0.44,0,0,31.1,187.96,51,17.6,42.3,71.1,Rain, Partially cloudy
07/11/2018,22.8,16,18.2,,,4.03,0,0,17.7,193.92,20.4,11.4,78.4,87.62,Rain, Overcast
07/12/2018,22.8,14.1,18.4,,,5.97,0,0,21.6,227.13,46.8,19.6,59.4,72.31,Rain, Partially cloudy
07/13/2018,22.8,14.8,17.9,,,15.46,0,0,25.1,241.71,42.4,19.7,68.2,79.17,Rain, Partially cloudy
07/14/2018,24,15.2,18.5,,,7.99,0,0,24.1,271.92,68.3,22,64.3,78.19,Rain, Partially cloudy
07/15/2018,25.2,16.3,20.1,,,1.2,0,0,21.1,250.08,38.3,22.6,63.5,68.48,Rain, Partially cloudy
07/16/2018,25.2,16.1,19.5,,,6.37,0,0,30.6,243.04,47.9,21.7,68,75.73,Rain, Partially cloudy
07/17/2018,18.9,17.3,18.1,,,25.9,0,0,25.1,246.88,32.4,9.8,90.8,93,Rain, Overcast
07/18/2018,21.8,18,19.4,,,26.93,0,0,28.4,276.83,41.6,10.6,91.9,92.09,Rain, Overcast
07/19/2018,20.8,18,18.8,,,29.74,0,0,22,266.63,28.8,14.1,94.2,90.59,Rain, Overcast
07/20/2018,25,18,20.3,,,4.07,0,0,21.5,238.5,21.2,13.4,69.3,83.8,Rain, Partially cloudy
07/21/2018,27.1,12.9,20.8,,27,0,0,0,14.3,203.92,17.2,19.8,11.8,66.51,Clear
07/22/2018,28.1,13.9,21.1,,28,3.2,0,0,12.4,126,28.7,19,41,67.69,Rain, Partially cloudy
07/23/2018,27.1,16,21.9,,27.1,1,0,0,21.4,251.88,39,19.8,26.8,65.11,Rain, Partially cloudy
07/24/2018,28.5,14.8,22.8,,28.1,0,0,0,20.8,272.21,35.4,25.1,21,55.51,Clear
07/25/2018,27.7,15,21.8,,27.6,9,0,0,19,175.17,22.7,18.8,28.5,67.24,Rain, Partially cloudy
07/26/2018,25.9,16,20.8,,,4.49,0,0,15.8,174.96,43.2,20,37.7,80.24,Rain, Partially cloudy
07/27/2018,27.2,17.3,21.9,,28.5,5,0,0,21.4,59,42.5,19.9,48.9,78.37,Rain, Partially cloudy
07/28/2018,29.2,16.3,23.6,,29.4,0,0,0,10.2,132.54,10.6,20.7,30.1,70.82,Partially cloudy
07/29/2018,29,18,21.6,,30.2,36.35,0,0,27.4,221.92,95.3,15.7,37.6,84.22,Rain, Partially cloudy
07/30/2018,26.9,16.7,21.2,,28.4,3.05,0,0,19,164.13,20,15.1,36.2,85.02,Rain, Partially cloudy
07/31/2018,27.1,16.9,22.1,,28.3,0.1,0,0,25.9,59.25,39.6,19.5,33.5,78.75,Rain, Partially cloudy
